,Rank,Team,GM,W-L,FGM,FGA,FG%,Madness,Years
665,57.0,Pittsburgh (ACC),1.0,0-1,18.0,48.0,37.5,1.0,15-16
666,57.0,Green Bay (Horizon),1.0,0-1,21.0,56.0,37.5,1.0,15-16
667,54.0,Weber St. (Big Sky),1.0,0-1,22.0,57.0,38.6,1.0,15-16
668,52.0,Buffalo (MAC),1.0,0-1,23.0,59.0,39.0,1.0,15-16
669,51.0,Southern U. (SWAC),1.0,0-1,22.0,56.0,39.3,1.0,15-16
670,46.0,South Dakota St. (Summit League),1.0,0-1,24.0,59.0,40.7,1.0,15-16
671,44.0,Austin Peay (OVC),1.0,0-1,25.0,61.0,41.0,1.0,15-16
672,43.0,California (Pac-12),1.0,0-1,23.0,56.0,41.1,1.0,15-16
673,40.0,Arizona (Pac-12),1.0,0-1,20.0,48.0,41.7,1.0,15-16
674,40.0,Oregon St. (Pac-12),1.0,0-1,25.0,60.0,41.7,1.0,15-16
675,39.0,Purdue (Big Ten),1.0,0-1,26.0,62.0,41.9,1.0,15-16
676,34.0,UNCW (CAA),1.0,0-1,30.0,68.0,44.1,1.0,15-16
677,34.0,Baylor (Big 12),1.0,0-1,30.0,68.0,44.1,1.0,15-16
678,31.0,Texas (Big 12),1.0,0-1,25.0,56.0,44.6,1.0,15-16
679,31.0,Tulsa (AAC),1.0,0-1,25.0,56.0,44.6,1.0,15-16
680,28.0,CSU Bakersfield (WAC),1.0,0-1,26.0,58.0,44.8,1.0,15-16
681,27.0,Colorado (Pac-12),1.0,0-1,23.0,51.0,45.1,1.0,15-16
682,24.0,Temple (AAC),1.0,0-1,30.0,66.0,45.5,1.0,15-16
683,23.0,Texas Tech (Big 12),1.0,0-1,25.0,54.0,46.3,1.0,15-16
684,20.0,Chattanooga (SoCon),1.0,0-1,28.0,59.0,47.5,1.0,15-16
685,14.0,Iona (MAAC),1.0,0-1,31.0,64.0,48.4,1.0,15-16
686,13.0,Fresno St. (Mountain West),1.0,0-1,26.0,53.0,49.1,1.0,15-16
687,9.0,Cincinnati (AAC),1.0,0-1,28.0,55.0,50.9,1.0,15-16
688,3.0,Southern California (Pac-12),1.0,0-1,28.0,52.0,53.8,1.0,15-16
689,2.0,Michigan St. (Big Ten),1.0,0-1,30.0,54.0,55.6,1.0,15-16
