,Rank,Team,GM,W-L,FGM,FGA,FG%,Madness,Years
475,18.0,Belmont (OVC),1.0,0-1,27.0,57.0,47.4,1.0,14-15
476,12.0,North Florida (ASUN),1.0,0-1,25.0,52.0,48.1,1.0,14-15
477,10.0,BYU (WCC),1.0,0-1,28.0,58.0,48.3,1.0,14-15
478,10.0,Coastal Carolina (Big South),1.0,0-1,28.0,58.0,48.3,1.0,14-15
479,6.0,Northeastern (CAA),1.0,0-1,27.0,55.0,49.1,1.0,14-15
480,1.0,North Dakota St. (Summit League),1.0,0-1,29.0,54.0,53.7,1.0,14-15
481,,,,,,,,,14-15
482,6.0,UConn (Big East),6.0,6-0,171.0,352.0,48.6,1.0,22-23
483,40.0,San Diego St. (Mountain West),6.0,5-1,148.0,365.0,40.5,1.0,22-23
484,30.0,Fla. Atlantic (CUSA),5.0,4-1,124.0,292.0,42.5,1.0,22-23
485,22.0,Miami (FL) (ACC),5.0,4-1,131.0,297.0,44.1,1.0,22-23
486,19.0,Gonzaga (WCC),4.0,3-1,112.0,247.0,45.3,1.0,22-23
487,9.0,Creighton (Big East),4.0,3-1,106.0,221.0,48.0,1.0,22-23
488,3.0,Texas (Big 12),4.0,3-1,124.0,240.0,51.7,1.0,22-23
489,2.0,Kansas St. (Big 12),4.0,3-1,123.0,235.0,52.3,1.0,22-23
490,57.0,Arkansas (SEC),3.0,2-1,68.0,184.0,37.0,1.0,22-23
491,54.0,Pittsburgh (ACC),3.0,2-1,62.0,165.0,37.6,1.0,22-23
492,48.0,Tennessee (SEC),3.0,2-1,65.0,166.0,39.2,1.0,22-23
493,46.0,Alabama (SEC),3.0,2-1,79.0,199.0,39.7,1.0,22-23
494,38.0,FDU (NEC),3.0,2-1,74.0,179.0,41.3,1.0,22-23
495,32.0,Houston (AAC),3.0,2-1,74.0,175.0,42.3,1.0,22-23
496,24.0,Princeton (Ivy League),3.0,2-1,83.0,191.0,43.5,1.0,22-23
497,16.0,Xavier (Big East),3.0,2-1,82.0,179.0,45.8,1.0,22-23
498,11.0,Michigan St. (Big Ten),3.0,2-1,81.0,171.0,47.4,1.0,22-23
499,7.0,UCLA (Pac-12),3.0,2-1,84.0,174.0,48.3,1.0,22-23
500,61.0,Furman (SoCon),2.0,1-1,38.0,106.0,35.8,1.0,22-23
501,59.0,A&M-Corpus Christi (Southland),2.0,1-1,48.0,132.0,36.4,1.0,22-23
502,49.0,Kentucky (SEC),2.0,1-1,49.0,126.0,38.9,1.0,22-23
503,45.0,Saint Mary's (CA) (WCC),2.0,1-1,39.0,98.0,39.8,1.0,22-23
504,41.0,TCU (Big 12),2.0,1-1,52.0,129.0,40.3,1.0,22-23
