Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
SFA (Southland),1.0,13-14,574,393,1.46,11.228571428571428,34.5,"2,661",76.0,451,735,"1,186",0.0,922,"1,992",569,800,71.1
Southeast Mo. St. (OVC),0.0,13-14,533,419,1.27,13.09375,35.9,"2,654",82.9,360,831,"1,191",0.0,961,"1,924",514,743,69.2
Villanova (Big East),1.0,13-14,523,406,1.29,11.941176470588236,35.6,"2,651",78.0,379,884,"1,263",0.0,870,"1,907",607,848,71.6
Sam Houston (Southland),0.0,13-14,550,447,1.23,12.771428571428572,39.2,"2,647",75.6,417,803,"1,220",0.0,875,"1,893",647,969,66.8
Murray St. (OVC),0.0,13-14,446,420,1.06,12.352941176470589,37.6,"2,647",77.9,397,836,"1,233",0.0,901,"1,898",593,883,67.2
Ohio (MAC),0.0,13-14,559,475,1.18,12.83783783783784,35.3,"2,647",71.5,351,947,"1,298",0.0,937,"2,042",499,699,71.4
Georgia St. (Sun Belt),0.0,13-14,451,275,1.64,8.088235294117647,37.5,"2,641",77.7,280,794,"1,074",0.0,900,"1,923",589,757,77.8
Towson (CAA),0.0,13-14,355,415,0.86,11.52777777777778,35.7,"2,633",73.1,433,962,"1,395",0.0,867,"1,910",686,997,68.8
VCU (Atlantic 10),1.0,13-14,459,428,1.07,12.228571428571428,34.9,"2,624",75.0,492,825,"1,317",0.0,922,"2,196",520,772,67.4
Stanford (Pac-12),1.0,13-14,415,409,1.01,11.36111111111111,36.4,"2,616",72.7,347,910,"1,257",0.0,896,"1,950",616,877,70.2
Memphis (AAC),1.0,13-14,591,449,1.32,13.205882352941176,33.0,"2,614",76.9,427,841,"1,268",0.0,958,"2,009",516,801,64.4
Morehead St. (OVC),0.0,13-14,456,530,0.86,15.588235294117649,29.9,"2,603",76.6,482,827,"1,309",0.0,861,"1,927",693,992,69.9
Texas (Big 12),1.0,13-14,452,426,1.06,12.17142857142857,32.7,"2,598",74.2,528,921,"1,449",0.0,905,"2,095",610,909,67.1
Southern Miss. (CUSA),0.0,13-14,507,481,1.05,13.36111111111111,34.9,"2,596",72.1,457,829,"1,286",0.0,873,"1,884",649,956,67.9
Robert Morris (NEC),0.0,13-14,445,411,1.08,11.416666666666666,38.5,"2,593",72.0,384,821,"1,205",0.0,890,"2,033",542,745,72.8
Boise St. (Mountain West),0.0,13-14,406,340,1.19,10.0,37.2,"2,591",76.2,374,797,"1,171",0.0,890,"1,952",547,730,74.9
Davidson (SoCon),0.0,13-14,451,378,1.19,11.454545454545457,37.6,"2,591",78.5,324,763,"1,087",0.0,896,"1,877",526,735,71.6
Pittsburgh (ACC),1.0,13-14,563,373,1.51,10.36111111111111,35.1,"2,586",71.8,432,859,"1,291",0.0,895,"1,944",613,861,71.2
Texas Southern (SWAC),1.0,13-14,476,454,1.05,13.352941176470589,36.0,"2,584",76.0,386,860,"1,246",0.0,857,"1,854",653,910,71.8
Providence (Big East),1.0,13-14,476,406,1.17,11.6,34.7,"2,566",73.3,432,846,"1,278",0.0,849,"1,984",650,831,78.2
