Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
UAB (CUSA),0.0,15-16,608,414,1.47,12.545454545454543,37.2,"2,606",79.0,366,892,"1,258",38.12,942,"1,971",472,654,72.2
San Diego St. (Mountain West),0.0,15-16,405,468,0.87,12.31578947368421,32.3,"2,605",68.6,453,"1,022","1,475",38.82,885,"2,100",613,892,68.7
Old Dominion (CUSA),0.0,15-16,505,346,1.46,9.105263157894736,30.1,"2,604",68.5,501,973,"1,474",38.79,987,"2,227",471,691,68.2
Houston Christian (Southland),0.0,15-16,475,502,0.95,14.764705882352942,36.4,"2,604",76.6,351,897,"1,248",36.71,899,"1,904",602,839,71.8
Memphis (AAC),0.0,15-16,510,413,1.23,12.147058823529411,32.4,"2,603",76.6,436,939,"1,375",40.44,877,"2,124",643,890,72.2
LSU (SEC),0.0,15-16,507,394,1.29,11.93939393939394,32.7,"2,602",78.8,368,862,"1,230",37.27,915,"1,990",569,856,66.5
Detroit Mercy (Horizon),0.0,15-16,408,422,0.97,13.612903225806452,37.5,"2,595",83.7,373,796,"1,169",37.71,898,"1,931",555,795,69.8
South Dakota St. (Summit League),1.0,15-16,381,399,0.95,11.735294117647058,35.7,"2,591",76.2,381,898,"1,279",37.62,877,"1,950",582,783,74.3
Lipscomb (ASUN),0.0,15-16,548,458,1.2,13.87878787878788,35.9,"2,590",78.5,335,867,"1,202",36.42,888,"2,017",483,695,69.5
Syracuse (ACC),1.0,15-16,498,440,1.13,11.891891891891891,36.0,"2,589",70.0,445,877,"1,322",35.73,884,"2,082",506,736,68.8
Charlotte (CUSA),0.0,15-16,481,396,1.21,12.0,38.2,"2,584",78.3,374,822,"1,196",36.24,920,"2,066",478,685,69.8
South Carolina (SEC),0.0,15-16,461,464,0.99,13.647058823529411,35.1,"2,583",76.0,472,899,"1,371",40.32,882,"2,041",603,883,68.3
UNLV (Mountain West),0.0,15-16,499,466,1.07,14.12121212121212,33.2,"2,581",78.2,371,895,"1,266",38.36,887,"2,015",555,815,68.1
Providence (Big East),1.0,15-16,550,397,1.39,11.342857142857143,32.1,"2,577",73.6,402,860,"1,262",36.06,881,"2,093",566,781,72.5
Saint Mary's (CA) (WCC),0.0,15-16,584,335,1.74,9.571428571428571,40.6,"2,576",73.6,310,915,"1,225",35.0,951,"1,887",371,539,68.8
Colorado (Pac-12),1.0,15-16,462,454,1.02,13.352941176470589,38.9,"2,576",75.8,446,987,"1,433",42.15,865,"2,030",594,809,73.4
Iowa (Big Ten),1.0,15-16,523,339,1.54,10.272727272727272,37.4,"2,561",77.6,392,865,"1,257",38.09,906,"2,027",480,669,71.7
FDU (NEC),1.0,15-16,472,423,1.12,12.818181818181818,36.2,"2,558",77.5,348,760,"1,108",33.58,929,"2,029",462,663,69.7
UT Martin (OVC),0.0,15-16,425,426,1.0,12.17142857142857,34.7,"2,554",73.0,371,908,"1,279",36.54,888,"2,000",504,711,70.9
Tennessee (SEC),0.0,15-16,458,380,1.21,11.176470588235292,32.7,"2,554",75.1,428,864,"1,292",38.0,890,"2,116",523,721,72.5
UTEP (CUSA),0.0,15-16,512,417,1.23,12.636363636363637,36.1,"2,554",77.4,299,897,"1,196",36.24,896,"1,926",539,809,66.6
Eastern Mich. (MAC),0.0,15-16,379,425,0.89,12.87878787878788,31.1,"2,553",77.4,387,809,"1,196",36.24,875,"1,961",616,854,72.1
UNC Asheville (Big South),1.0,15-16,422,444,0.95,13.058823529411764,32.3,"2,552",75.1,396,883,"1,279",37.62,898,"1,973",561,808,69.4
Sam Houston (Southland),0.0,15-16,575,400,1.44,11.764705882352942,34.1,"2,551",75.0,382,877,"1,259",37.03,876,"2,012",535,767,69.8
California (Pac-12),1.0,15-16,434,419,1.04,12.323529411764708,36.3,"2,545",74.9,386,971,"1,357",39.91,890,"1,937",529,806,65.6
Middle Tenn. (CUSA),1.0,15-16,455,419,1.09,11.971428571428572,39.0,"2,539",72.5,369,914,"1,283",36.66,909,"2,025",442,718,61.6
Army West Point (Patriot),0.0,15-16,502,450,1.12,13.636363636363637,33.5,"2,539",76.9,408,931,"1,339",40.58,895,"2,085",455,656,69.4
Wichita St. (MVC),1.0,15-16,488,346,1.41,9.885714285714286,32.4,"2,535",72.4,408,898,"1,306",37.31,867,"2,023",551,768,71.7
Southern U. (SWAC),1.0,15-16,382,391,0.98,11.17142857142857,34.6,"2,534",72.4,365,892,"1,257",35.91,909,"2,046",505,754,67.0
Canisius (MAAC),0.0,15-16,466,370,1.26,11.212121212121213,34.1,"2,526",76.5,393,723,"1,116",33.82,845,"2,014",551,744,74.1
Evansville (MVC),0.0,15-16,595,426,1.4,12.529411764705882,35.3,"2,526",74.3,260,945,"1,205",35.44,879,"1,795",610,843,72.4
Fairfield (MAAC),0.0,15-16,503,427,1.18,12.93939393939394,35.4,"2,522",76.4,298,848,"1,146",34.73,875,"1,991",479,650,73.7
Seton Hall (Big East),1.0,15-16,455,469,0.97,13.794117647058824,34.7,"2,522",74.2,438,917,"1,355",39.85,892,"1,999",532,808,65.8
Marquette (Big East),0.0,15-16,533,485,1.1,14.696969696969695,33.9,"2,517",76.3,311,869,"1,180",35.76,884,"1,888",555,764,72.6
Stony Brook (America East),1.0,15-16,541,379,1.43,11.484848484848484,36.9,"2,515",76.2,426,886,"1,312",39.76,933,"1,993",429,636,67.5
Vanderbilt (SEC),1.0,15-16,487,386,1.26,11.696969696969695,38.2,"2,506",75.9,313,959,"1,272",38.55,857,"1,879",519,747,69.5
Arkansas (SEC),0.0,15-16,520,357,1.46,11.15625,39.7,"2,501",78.2,374,812,"1,186",37.06,883,"1,992",519,748,69.4
Eastern Ky. (OVC),0.0,15-16,494,457,1.08,14.741935483870968,39.5,"2,497",80.5,274,725,999,32.23,864,"1,760",511,700,73.0
Central Mich. (MAC),0.0,15-16,441,303,1.46,9.181818181818182,35.3,"2,495",75.6,325,827,"1,152",34.91,867,"1,964",437,608,71.9
UAlbany (America East),0.0,15-16,410,413,0.99,12.515151515151516,32.0,"2,495",75.6,387,889,"1,276",38.67,848,"1,850",611,814,75.1
Norfolk St. (MEAC),0.0,15-16,411,423,0.97,12.441176470588236,34.7,"2,494",73.4,376,806,"1,182",34.76,813,"1,919",626,808,77.5
Furman (SoCon),0.0,15-16,424,472,0.9,13.485714285714286,32.2,"2,487",71.1,387,862,"1,249",35.69,847,"1,866",540,777,69.5
Little Rock (Sun Belt),1.0,15-16,451,364,1.24,10.4,38.4,"2,487",71.1,324,870,"1,194",34.11,886,"1,958",449,616,72.9
South Carolina St. (MEAC),0.0,15-16,432,400,1.08,11.764705882352942,34.1,"2,485",73.1,342,803,"1,145",33.68,885,"1,955",514,716,71.8
Portland (WCC),0.0,15-16,425,389,1.09,12.15625,36.7,"2,483",77.6,369,761,"1,130",35.31,868,"2,012",458,633,72.4
Boston U. (Patriot),0.0,15-16,458,468,0.98,13.764705882352942,36.4,"2,483",73.0,311,906,"1,217",35.79,859,"1,894",493,688,71.7
Toledo (MAC),0.0,15-16,527,373,1.41,11.65625,36.4,"2,482",77.6,306,855,"1,161",36.28,865,"1,881",489,655,74.7
NC State (ACC),0.0,15-16,383,366,1.05,11.090909090909092,34.8,"2,482",75.2,457,849,"1,306",39.58,866,"1,999",543,777,69.9
Boise St. (Mountain West),0.0,15-16,430,372,1.16,11.625,33.1,"2,480",77.5,315,796,"1,111",34.72,842,"1,859",535,755,70.9
UCLA (Pac-12),0.0,15-16,502,392,1.28,12.25,36.3,"2,480",77.5,393,874,"1,267",39.59,915,"2,016",450,651,69.1
Western Caro. (SoCon),0.0,15-16,427,485,0.88,14.264705882352942,33.2,"2,479",72.9,404,836,"1,240",36.47,851,"1,993",535,760,70.4
Ball St. (MAC),0.0,15-16,513,464,1.11,13.257142857142858,37.2,"2,479",70.8,330,945,"1,275",36.43,855,"1,920",464,671,69.2
Pittsburgh (ACC),1.0,15-16,547,384,1.42,11.636363636363637,34.6,"2,476",75.0,417,841,"1,258",38.12,878,"1,919",516,686,75.2
Gardner-Webb (Big South),0.0,15-16,442,439,1.01,13.303030303030305,34.1,"2,476",75.0,435,823,"1,258",38.12,871,"2,041",458,701,65.3
Houston (AAC),0.0,15-16,412,333,1.24,10.40625,34.8,"2,476",77.4,410,792,"1,202",37.56,897,"1,926",467,662,70.5
UNI (MVC),1.0,15-16,429,357,1.2,9.916666666666666,37.4,"2,475",68.8,195,896,"1,091",30.31,849,"1,863",479,633,75.7
North Dakota (Big Sky),0.0,15-16,439,435,1.01,13.181818181818182,35.9,"2,474",75.0,293,916,"1,209",36.64,876,"1,926",519,761,68.2
High Point (Big South),0.0,15-16,493,341,1.45,10.65625,38.4,"2,473",77.3,337,737,"1,074",33.56,884,"1,852",518,680,76.2
ULM (Sun Belt),0.0,15-16,481,424,1.13,12.470588235294118,35.4,"2,471",72.7,376,857,"1,233",36.26,896,"1,957",454,647,70.2
UNC Greensboro (SoCon),0.0,15-16,440,407,1.08,11.970588235294118,36.3,"2,469",72.6,322,845,"1,167",34.32,890,"1,997",393,579,67.9
NIU (MAC),0.0,15-16,475,430,1.1,12.647058823529411,34.9,"2,463",72.4,416,915,"1,331",39.15,842,"1,970",541,791,68.4
Ohio St. (Big Ten),0.0,15-16,397,451,0.88,12.885714285714286,33.4,"2,462",70.3,379,953,"1,332",38.06,876,"1,995",491,718,68.4
Nebraska (Big Ten),0.0,15-16,397,401,0.99,11.794117647058824,34.7,"2,456",72.2,377,821,"1,198",35.24,883,"1,976",470,644,73.0
Jackson St. (SWAC),0.0,15-16,445,446,1.0,12.38888888888889,31.1,"2,455",68.2,474,943,"1,417",39.36,898,"2,208",416,659,63.1
Illinois (Big Ten),0.0,15-16,462,357,1.29,10.5,36.3,"2,452",72.1,258,818,"1,076",31.65,861,"1,993",453,607,74.6
Richmond (Atlantic 10),0.0,15-16,531,327,1.62,10.21875,35.6,"2,450",76.6,251,770,"1,021",31.91,890,"1,848",430,651,66.1
Bucknell (Patriot),0.0,15-16,489,423,1.16,13.64516129032258,36.5,"2,448",79.0,317,820,"1,137",36.68,831,"1,788",553,774,71.4
Mercer (SoCon),0.0,15-16,509,431,1.18,12.676470588235292,34.3,"2,446",71.9,436,927,"1,363",40.09,871,"1,958",494,677,73.0
Jacksonville (ASUN),0.0,15-16,402,366,1.1,11.4375,38.9,"2,444",76.4,339,879,"1,218",38.06,866,"1,985",434,640,67.8
South Dakota (Summit League),0.0,15-16,492,388,1.27,12.125,35.6,"2,443",76.3,289,788,"1,077",33.66,912,"1,954",418,596,70.1
Samford (SoCon),0.0,15-16,435,455,0.96,13.787878787878787,32.3,"2,440",73.9,346,797,"1,143",34.64,845,"1,857",573,798,71.8
North Carolina (ACC),1.0,16-17,722,473,1.53,11.825,35.5,"3,377",84.4,630,"1,119","1,749",43.73,"1,226","2,633",642,916,70.1
UCLA (Pac-12),1.0,16-17,771,404,1.91,11.22222222222222,40.6,"3,233",89.8,343,"1,042","1,385",38.47,"1,210","2,320",459,622,73.8
Kentucky (SEC),1.0,16-17,585,443,1.32,11.657894736842104,35.3,"3,225",84.9,470,"1,041","1,511",39.76,"1,134","2,396",690,981,70.3
Gonzaga (WCC),1.0,16-17,595,448,1.33,11.487179487179487,38.2,"3,222",82.6,378,"1,209","1,587",40.69,"1,149","2,281",638,890,71.7
Oregon (Pac-12),1.0,16-17,614,454,1.35,11.64102564102564,38.0,"3,076",78.9,412,"1,016","1,428",36.62,"1,091","2,270",560,787,71.2
West Virginia (Big 12),1.0,16-17,607,455,1.33,12.297297297297296,36.2,"3,014",81.5,534,851,"1,385",37.43,"1,059","2,333",621,907,68.5
Kansas (Big 12),1.0,16-17,584,456,1.28,12.666666666666666,40.4,"2,995",83.2,428,964,"1,392",38.67,"1,071","2,193",535,789,67.8
Duke (ACC),1.0,16-17,484,421,1.15,11.37837837837838,37.9,"2,991",80.8,390,951,"1,341",36.24,"1,019","2,145",642,842,76.2
UNCW (CAA),1.0,16-17,565,363,1.56,10.371428571428572,36.6,"2,967",84.8,422,839,"1,261",36.03,"1,071","2,231",489,708,69.1
The Citadel (SoCon),0.0,16-17,561,473,1.19,14.333333333333334,34.0,"2,964",89.8,448,786,"1,234",37.39,980,"2,359",607,802,75.7
Wyoming (Mountain West),0.0,16-17,568,502,1.13,13.210526315789474,34.9,"2,961",77.9,322,"1,133","1,455",38.29,986,"2,269",620,849,73.0
Wichita St. (MVC),1.0,16-17,586,406,1.44,11.27777777777778,40.3,"2,916",81.0,434,"1,041","1,475",40.97,992,"2,116",622,848,73.3
TCU (Big 12),0.0,16-17,661,504,1.31,12.923076923076923,35.4,"2,914",74.7,453,951,"1,404",36.0,"1,064","2,284",506,738,68.6
Troy (Sun Belt),1.0,16-17,484,462,1.05,12.486486486486486,35.8,"2,889",78.1,409,958,"1,367",36.95,982,"2,154",614,848,72.4
Florida St. (ACC),1.0,16-17,511,415,1.23,11.857142857142858,34.7,"2,873",82.1,409,915,"1,324",37.83,"1,036","2,146",568,824,68.9
Purdue Fort Wayne (Summit League),0.0,16-17,576,450,1.28,13.636363636363637,40.2,"2,869",86.9,334,908,"1,242",37.64,"1,055","2,127",407,561,72.5
Creighton (Big East),1.0,16-17,598,435,1.37,12.428571428571429,39.6,"2,864",81.8,289,934,"1,223",34.94,"1,078","2,136",404,592,68.2
Arkansas (SEC),1.0,16-17,501,428,1.17,11.88888888888889,36.5,"2,855",79.3,401,896,"1,297",36.03,997,"2,166",628,825,76.1
Michigan (Big Ten),1.0,16-17,529,348,1.52,9.157894736842104,38.5,"2,851",75.0,280,831,"1,111",29.24,"1,002","2,076",486,624,77.9
Xavier (Big East),1.0,16-17,560,478,1.17,12.578947368421051,34.5,"2,836",74.6,451,965,"1,416",37.26,981,"2,148",607,882,68.8
Samford (SoCon),0.0,16-17,581,493,1.18,13.694444444444445,39.5,"2,834",78.7,345,955,"1,300",36.11,955,"2,038",645,868,74.3
Coastal Carolina (Sun Belt),0.0,16-17,467,508,0.92,13.025641025641026,33.1,"2,833",72.6,479,"1,094","1,573",40.33,"1,021","2,415",473,719,65.8
Arizona (Pac-12),1.0,16-17,501,413,1.21,11.16216216216216,39.0,"2,833",76.6,380,977,"1,357",36.68,977,"2,048",635,830,76.5
Iowa St. (Big 12),1.0,16-17,553,355,1.56,10.142857142857142,40.0,"2,829",80.8,318,901,"1,219",34.83,"1,031","2,186",423,604,70.0
Oklahoma St. (Big 12),1.0,16-17,486,432,1.13,13.090909090909092,40.2,"2,828",85.7,454,761,"1,215",36.82,957,"2,050",620,786,78.9
Central Mich. (MAC),0.0,16-17,362,362,1.0,11.3125,35.8,"2,826",88.3,364,881,"1,245",38.91,912,"2,153",603,762,79.1
UT Arlington (Sun Belt),0.0,16-17,568,471,1.21,13.083333333333334,33.7,"2,818",78.3,430,962,"1,392",38.67,999,"2,168",510,749,68.1
Southern California (Pac-12),1.0,16-17,550,398,1.38,11.055555555555555,36.2,"2,816",78.2,387,897,"1,284",35.67,975,"2,139",583,787,74.1
Iona (MAAC),1.0,16-17,541,421,1.29,12.028571428571428,39.7,"2,813",80.4,337,913,"1,250",35.71,979,"2,155",513,668,76.8
Ole Miss (SEC),0.0,16-17,467,515,0.91,14.305555555555555,34.7,"2,807",78.0,458,965,"1,423",39.53,914,"2,162",696,926,75.2
Lipscomb (ASUN),0.0,16-17,599,500,1.2,15.151515151515152,36.6,"2,804",85.0,340,874,"1,214",36.79,939,"1,978",586,811,72.3
Florida (SEC),1.0,16-17,451,431,1.05,11.97222222222222,35.8,"2,804",77.9,416,918,"1,334",37.06,953,"2,119",620,851,72.9
Nevada (Mountain West),1.0,16-17,559,386,1.45,11.028571428571428,38.2,"2,792",79.8,386,965,"1,351",38.6,933,"2,082",606,859,70.5
Purdue (Big Ten),1.0,16-17,640,455,1.41,13.0,40.3,"2,790",79.7,344,975,"1,319",37.69,980,"2,044",515,680,75.7
Notre Dame (ACC),1.0,16-17,566,341,1.66,9.47222222222222,38.4,"2,783",77.3,334,878,"1,212",33.67,980,"2,139",489,611,80.0
ETSU (SoCon),1.0,16-17,516,519,0.99,14.82857142857143,38.2,"2,782",79.5,357,912,"1,269",36.26,960,"1,966",597,850,70.2
Villanova (Big East),1.0,16-17,505,402,1.26,11.166666666666666,36.9,"2,779",77.2,316,891,"1,207",33.53,965,"1,948",538,681,79.0
Kent St. (MAC),1.0,16-17,449,465,0.97,12.916666666666666,32.0,"2,772",77.0,539,913,"1,452",40.33,986,"2,303",543,755,71.9
Akron (MAC),0.0,16-17,517,422,1.23,11.72222222222222,37.2,"2,772",77.0,357,889,"1,246",34.61,949,"2,036",508,744,68.3
Monmouth (MAAC),0.0,16-17,431,425,1.01,12.5,37.3,"2,761",81.2,380,930,"1,310",38.53,929,"2,127",600,793,75.7
UMBC (America East),0.0,16-17,507,410,1.24,12.058823529411764,39.3,"2,759",81.1,307,893,"1,200",35.29,957,"2,041",515,691,74.5
UIC (Horizon),0.0,16-17,524,589,0.89,16.36111111111111,36.5,"2,749",76.4,422,"1,004","1,426",39.61,939,"2,113",599,843,71.1
BYU (WCC),0.0,16-17,534,469,1.14,13.794117647058824,34.4,"2,741",80.6,363,"1,056","1,419",41.74,937,"2,056",637,869,73.3
Iowa (Big Ten),0.0,16-17,602,472,1.28,13.882352941176473,37.9,"2,738",80.5,408,897,"1,305",38.38,964,"2,122",510,741,68.8
Wake Forest (ACC),1.0,16-17,512,389,1.32,11.787878787878787,38.5,"2,733",82.8,349,848,"1,197",36.27,923,"1,955",619,796,77.8
A&M-Corpus Christi (Southland),0.0,16-17,486,485,1.0,13.47222222222222,33.2,"2,715",75.4,368,860,"1,228",34.11,974,"2,070",572,792,72.2
Weber St. (Big Sky),0.0,16-17,443,396,1.12,11.647058823529411,41.7,"2,712",79.8,243,860,"1,103",32.44,908,"1,867",584,788,74.1
Indiana (Big Ten),0.0,16-17,488,517,0.94,15.205882352941176,38.0,"2,711",79.7,413,913,"1,326",39.0,959,"2,004",498,683,72.9
South Carolina (SEC),1.0,16-17,467,480,0.97,12.972972972972974,33.7,"2,705",73.1,464,880,"1,344",36.32,923,"2,198",611,875,69.8
Louisiana (Sun Belt),0.0,16-17,473,440,1.08,13.333333333333334,34.3,"2,704",81.9,442,811,"1,253",37.97,945,"2,022",583,839,69.5
FGCU (ASUN),1.0,16-17,527,421,1.25,12.382352941176473,34.7,"2,701",79.4,379,890,"1,269",37.32,"1,007","2,019",466,664,70.2
Oakland (Horizon),0.0,16-17,577,463,1.25,13.617647058823527,33.5,"2,699",79.4,353,971,"1,324",38.94,935,"2,057",582,765,76.1
Eastern Wash. (Big Sky),0.0,16-17,421,415,1.01,12.205882352941176,37.9,"2,695",79.3,309,887,"1,196",35.18,947,"1,975",520,675,77.0
UT Martin (OVC),0.0,16-17,555,528,1.05,15.085714285714284,35.3,"2,693",76.9,453,859,"1,312",37.49,966,"2,066",474,689,68.8
Kansas City (WAC),0.0,16-17,451,510,0.88,14.571428571428571,37.1,"2,691",76.9,352,861,"1,213",34.66,911,"2,076",554,777,71.3
Omaha (Summit League),0.0,16-17,442,444,1.0,13.875,38.8,"2,685",83.9,338,811,"1,149",35.91,895,"1,972",598,799,74.8
South Dakota St. (Summit League),1.0,16-17,459,453,1.01,12.942857142857145,36.0,"2,683",76.7,316,912,"1,228",35.09,881,"1,938",603,782,77.1
New Mexico St. (WAC),1.0,16-17,505,465,1.09,13.676470588235292,33.7,"2,678",78.8,436,903,"1,339",39.38,913,"1,957",600,843,71.2
Wisconsin (Big Ten),1.0,16-17,503,411,1.22,11.108108108108109,35.9,"2,678",72.4,460,916,"1,376",37.19,971,"2,136",453,703,64.4
Ball St. (MAC),0.0,16-17,529,496,1.07,14.588235294117649,37.9,"2,677",78.7,335,946,"1,281",37.68,929,"2,014",500,697,71.7
Toledo (MAC),0.0,16-17,551,447,1.23,13.147058823529411,36.2,"2,675",78.7,339,935,"1,274",37.47,944,"1,966",525,755,69.5
Cincinnati (AAC),1.0,16-17,559,361,1.55,10.02777777777778,34.5,"2,674",74.3,437,890,"1,327",36.86,969,"2,117",472,688,68.6
Bucknell (Patriot),1.0,16-17,510,466,1.09,13.314285714285717,37.9,"2,667",76.2,302,901,"1,203",34.37,942,"1,961",497,730,68.1
Canisius (MAAC),0.0,16-17,601,446,1.35,13.117647058823527,37.1,"2,665",78.4,364,756,"1,120",32.94,943,"2,066",470,639,73.6
Northern Ky. (Horizon),1.0,16-17,486,468,1.04,13.371428571428572,34.9,"2,659",76.0,391,928,"1,319",37.69,928,"2,037",503,740,68.0
Campbell (Big South),0.0,16-17,432,476,0.91,12.864864864864863,36.8,"2,653",71.7,291,927,"1,218",32.92,909,"1,992",541,720,75.1
Portland St. (Big Sky),0.0,16-17,491,376,1.31,12.129032258064516,34.1,"2,645",85.3,322,742,"1,064",34.32,959,"1,991",489,743,65.8
Murray St. (OVC),0.0,16-17,458,403,1.14,12.212121212121213,36.0,"2,639",80.0,399,844,"1,243",37.67,899,"2,040",552,751,73.5
South Dakota (Summit League),0.0,16-17,415,402,1.03,11.823529411764708,34.1,"2,639",77.6,355,916,"1,271",37.38,907,"2,044",601,853,70.5
North Florida (ASUN),0.0,16-17,447,541,0.83,15.911764705882351,35.1,"2,637",77.6,423,898,"1,321",38.85,926,"2,026",490,748,65.5
Marquette (Big East),1.0,16-17,525,396,1.33,12.375,42.9,"2,631",82.2,280,779,"1,059",33.09,919,"1,889",457,585,78.1
Louisville (ACC),1.0,16-17,461,374,1.23,11.0,35.5,"2,628",77.3,457,886,"1,343",39.5,952,"2,086",486,708,68.6
UNC Greensboro (SoCon),0.0,16-17,525,474,1.11,13.542857142857144,38.2,"2,628",75.1,405,836,"1,241",35.46,947,"2,043",426,603,70.6
Lamar University (Southland),0.0,16-17,481,455,1.06,13.382352941176473,36.2,"2,623",77.1,389,803,"1,192",35.06,907,"1,978",544,814,66.8
VCU (Atlantic 10),1.0,16-17,525,435,1.21,12.428571428571429,33.1,"2,616",74.7,386,889,"1,275",36.43,945,"2,050",527,747,70.5
Youngstown St. (Horizon),0.0,16-17,513,406,1.26,11.941176470588236,33.3,"2,616",76.9,355,891,"1,246",36.65,981,"2,230",404,601,67.2
Winthrop (Big South),1.0,16-17,423,430,0.98,13.030303030303031,37.3,"2,615",79.2,316,908,"1,224",37.09,891,"1,957",520,725,71.7
Utah Valley (WAC),0.0,16-17,530,522,1.02,15.352941176470589,32.0,"2,615",76.9,306,"1,043","1,349",39.68,886,"2,027",543,768,70.7
Colorado St. (Mountain West),0.0,16-17,397,392,1.01,10.88888888888889,33.9,"2,611",72.5,410,964,"1,374",38.17,879,"2,070",596,815,73.1
Virginia Tech (ACC),1.0,16-17,497,398,1.25,12.06060606060606,40.3,"2,610",79.1,240,826,"1,066",32.3,887,"1,813",546,741,73.7
SMU (AAC),1.0,16-17,567,377,1.5,10.771428571428572,40.6,"2,599",74.3,416,918,"1,334",38.11,914,"1,936",485,697,69.6
Richmond (Atlantic 10),0.0,16-17,592,399,1.48,11.4,34.2,"2,596",74.2,236,842,"1,078",30.8,938,"1,993",449,630,71.3
Butler (Big East),1.0,16-17,453,346,1.31,10.176470588235292,36.6,"2,595",76.3,287,802,"1,089",32.03,906,"1,898",522,704,74.1
Syracuse (ACC),0.0,16-17,532,418,1.27,12.294117647058824,38.1,"2,594",76.3,363,820,"1,183",34.79,894,"1,949",506,686,73.8
Arizona St. (Pac-12),0.0,16-17,430,344,1.25,10.424242424242424,36.6,"2,593",78.6,304,773,"1,077",32.64,888,"2,047",489,653,74.9
Wofford (SoCon),0.0,16-17,552,405,1.36,12.272727272727272,40.3,"2,593",78.6,323,784,"1,107",33.55,900,"1,926",482,618,78.0
Texas Southern (SWAC),1.0,16-17,411,407,1.01,11.628571428571428,29.5,"2,593",74.1,401,825,"1,226",35.03,866,"2,017",656,892,73.5
Furman (SoCon),0.0,16-17,524,451,1.16,12.885714285714286,38.5,"2,590",74.0,317,896,"1,213",34.66,918,"1,941",435,624,69.7
North Dakota (Big Sky),1.0,16-17,487,419,1.16,13.09375,39.0,"2,578",80.6,297,848,"1,145",35.78,926,"1,919",498,698,71.3
Rhode Island (Atlantic 10),1.0,16-17,465,389,1.2,11.114285714285714,33.3,"2,577",73.6,409,892,"1,301",37.17,916,"2,018",528,791,66.8
Saint Francis (PA) (NEC),0.0,16-17,472,499,0.95,14.676470588235292,39.1,"2,577",75.8,354,889,"1,243",36.56,943,"2,021",414,598,69.2
USC Upstate (ASUN),0.0,16-17,508,421,1.21,12.757575757575758,34.6,"2,575",78.0,396,885,"1,281",38.82,936,"2,044",419,638,65.7
Auburn (SEC),0.0,16-17,421,434,0.97,13.5625,36.6,"2,573",80.4,369,802,"1,171",36.59,861,"1,969",562,836,67.2
Vermont (America East),1.0,16-17,476,392,1.21,11.2,36.9,"2,571",73.5,326,866,"1,192",34.06,943,"1,909",456,651,70.0
Colorado (Pac-12),0.0,16-17,473,410,1.15,12.058823529411764,34.8,"2,568",75.5,403,872,"1,275",37.5,888,"1,993",542,770,70.4
Eastern Mich. (MAC),0.0,16-17,443,399,1.11,12.090909090909092,34.3,"2,566",77.8,420,780,"1,200",36.36,918,"2,046",519,716,72.5
Green Bay (Horizon),0.0,16-17,447,448,1.0,14.0,32.2,"2,565",80.2,387,925,"1,312",41.0,913,"2,061",542,787,68.9
Montana St. (Big Sky),0.0,16-17,423,393,1.08,12.28125,37.5,"2,561",80.0,336,830,"1,166",36.44,857,"1,968",527,722,73.0
Southern Utah (Big Sky),0.0,16-17,381,452,0.84,13.696969696969695,35.7,"2,559",77.5,383,836,"1,219",36.94,815,"2,005",638,861,74.1
Northwestern (Big Ten),1.0,16-17,541,383,1.41,10.63888888888889,34.2,"2,558",71.1,386,918,"1,304",36.22,913,"2,092",477,638,74.8
Jacksonville (ASUN),0.0,16-17,445,424,1.05,12.848484848484848,40.3,"2,557",77.5,302,779,"1,081",32.76,878,"1,885",474,644,73.6
Minnesota (Big Ten),1.0,16-17,507,393,1.29,11.558823529411764,34.2,"2,556",75.2,378,963,"1,341",39.44,887,"2,038",573,806,71.1
Baylor (Big 12),1.0,16-17,544,469,1.16,13.4,35.9,"2,550",72.9,451,876,"1,327",37.91,921,"1,956",478,661,72.3
Long Beach St. (Big West),0.0,16-17,447,488,0.92,14.352941176470589,35.1,"2,549",75.0,396,819,"1,215",35.74,895,"2,035",543,750,72.4
Siena (MAAC),0.0,16-17,460,476,0.97,14.0,32.7,"2,549",75.0,430,854,"1,284",37.76,899,"1,989",565,795,71.1
Gardner-Webb (Big South),0.0,16-17,486,474,1.03,14.363636363636363,37.9,"2,546",77.2,372,887,"1,259",38.15,913,"1,905",511,819,62.4
UNC Asheville (Big South),0.0,16-17,512,384,1.33,11.636363636363637,39.4,"2,544",77.1,281,825,"1,106",33.52,908,"1,908",464,681,68.1
N.C. Central (MEAC),1.0,16-17,480,406,1.18,11.941176470588236,33.5,"2,542",74.8,397,914,"1,311",38.56,910,"2,005",467,684,68.3
St. John's (NY) (Big East),0.0,16-17,446,433,1.03,13.12121212121212,36.4,"2,534",76.8,337,799,"1,136",34.42,866,"2,000",524,724,72.4
William & Mary (CAA),0.0,16-17,543,388,1.4,12.516129032258064,38.2,"2,534",81.7,271,852,"1,123",36.23,887,"1,808",477,689,69.2
Sam Houston (Southland),0.0,16-17,507,466,1.09,13.705882352941176,31.7,"2,526",74.3,401,880,"1,281",37.68,898,"2,053",518,755,68.6
UC Davis (Big West),1.0,16-17,461,513,0.9,14.25,34.8,"2,525",70.1,364,915,"1,279",35.53,873,"2,008",558,828,67.4
